"Name","PriceRange","Address"
"New Dawn Hotel","$71 - $223*"," 95 Inverness Terrace | Bayswater, London W2 3JU, England  "
"Romanos Hotel","0"," 31 Charlwood Street | Victoria, London SW1V 2DU, England  "
"Premier West Hotel","$70 - $115*"," 28 - 34 Glenthorne Rd, London W6 0LS, England  "
"Hudson New York","$209 - $555*"," 356 West 58th Street, New York City, NY 10019  "
"Apollo Hotel -- Bayswater","$101 - $437*"," 64 Queensborough Terrace | Bayswater, London W2 3SH, England  "
"An-Nur (Anna) Hotel","0"," 74 Queensborough Terrace, London W2 3SH, England  "
"Kings Hotel","$95 - $389*"," 60-62 Queensborough Terrace, London W2 3SH, England  "
"The New Dome Hotel","$103 - $119*"," 51-53 Camberwell Church St, London SE5 8TR, England  "
"Victoria Station Hotel","0"," 278 - 280 Vauxhall Bridge Road, London, England  "
"Majestic Hotel","$81 - $146*"," 160 Cromwell Road, London SW5 0TL, England  "
"Amsterdam Court Hotel","$189 - $396*"," 226 West 50th Street, New York City, NY 10019  "
"Warwick House","0"," 60 Warwick Road | Earl's Court, London SW5 9EJ, England  "
"So Paddington","$120 - $351*"," 6 - 8 Norfolk Square, London W2 1RS, England (Formerly Warwick Hotel) "
"Travelodge Wembley","0"," North Circular Road | Ealing, London NW10 7UG, England  "
"Hotel Alexander","0"," 306 W 94th St, New York City, NY 10025   "
"Hotel Balkan","$81 - $190*"," 33 Shepherds Bush Road, London W6 7LX, England  "
"Eurostars Wall Street","$209 - $447*"," 129 Front St, New York City, NY 10005  "
"Royal Hyde Park Hotel","$112 - $283*"," 106 / 110 Queensway, London W2 3RR, England  "
"Chelsea Inn - 17th Street","$122 - $194*"," 46 West 17th Street, New York City, NY 10011  "
"Kensington Suite Hotel","$103 - $475*"," 128 Holland Road, London W14 8BD, England  "
"The Royal Cambridge Hotel","$106 - $285*"," 124-126 Sussex Gardens | Paddington, London W2 1UB, England  "
"Off Soho Suites","$249 - $368*"," 11 Rivington Street, New York City, NY 10002  "
"Chelsea Star Hotel","$53 - $429*"," 300 W 30th St at 8th Ave, New York City, NY 10001  "
"Queens Hotel Crystal Palace","$52 - $109*"," 122 Church Rd | Crystal Palace, London SE19 2UG, England  "
"Hotel Rama","$111*"," 43 Belgrave Rd, London SW1V 2BB, England  "
"Mayfair Hotel","$190 - $251*"," 242 West 49th Street, New York City, NY 10019  "
"Pembury Hotel","$87 - $448*"," 328 Seven Sisters Road | Finsbury Park, London N4 2AP, England  "
"Budget Guest House","$71 - $141*"," 23 Swinton Street | Kings Cross, London WC1X 9NL, England  "
"Griffin House Hotel","$93 - $1,585"," 10 Connaught Street, Marble Arch, London W2 2AH, England  "
"Radnor Bayswater Hotel","$113 - $176*"," 23 Inverness Terrace | Bayswater, London W2 3JR, England  "
"The Hotel 91","$164 - $551*"," 91 E Broadway, New York City, NY 10002  "
"The Sylvan Guest House","$228 - $459*"," 12 Sylvan Terrace, New York City, NY 10032  "
"Hotel Olympia","$92 - $528*"," 49 Earl's Court Square, London SW5 9BY, England  "
"Rex Hotel","$79 - $633*"," 49 Shepherds Bush Road, London W6 7LU, England  "
"Travelodge London Park Royal","$95 - $380*"," A40 Western Avenue, Acton, London W3 OTE , England  "
"Helmsley Middletowne Hotel","$145 - $265*"," 148 E. 48th St., New York City, NY 10017  "
"The Ascot Hotel","$87 - $680*"," 11 Craven Road, London W2 5BP, England  "
"La Reserve","$131 - $250*"," 422-428 Fulham Rd., London SW6 1DU, England  "
"Central Park Hotel","$77 - $1,566"," 3-15 Wilberforce Road, London N4 2SR , England  "
"Gresham Hotel (Hanger Lane)","$87*"," 10 Hanger Lane, London W5 3HH, England  "
"Ameritania Hotel","$199 - $392*"," 230 West 54th Street, New York City, NY 10019  "
"The Inn at Irving Place","$353 - $448*"," 56 Irving Place, New York City, NY 10003  "
"Broadway Hotel and Hostel","$52 - $332*"," 230 West 101 Street, (at 101st Street and Broadway), New York City, NY 10025  "
"Holiday Inn Midtown / 57th St","$204 - $331*"," 440 West 57th Street, New York City, NY 10019  "
"Hotel Wales","$264 - $463*"," 1295 Madison Avenue, New York City, NY 10128  "
"Seton Hotel","$194 - $289*"," 144 East 40th Street, New York City, NY 10016  "
"Hotel Americano","$293 - $627*"," 518 W 27th St, New York City, NY 10001  "
"Radisson Lexington Hotel New York","$207 - $432*"," 511 Lexington Avenue, at 48th Street, New York City, NY 10017  "
"Riverside Tower","$124 - $149*"," 80 Riverside Drive, New York City, NY 10024  "
"Comfort Inn Midtown West Convention Center","$189 - $404*"," 442 W 36th St, New York City, NY 10018  "
"Beekman Tower Hotel","$236 - $462*"," 3 Mitchell Place, At 1st Avenue and East 49th Street, New York City, NY 10017  "
"Econo Lodge Times Square","$189 - $378*"," 302 West 47th Street, New York City, NY 10036  "
"Best Western PLUS President Hotel at Times Square","$222 - $830*"," 234 West 48th Street, Times Square, New York City, NY 10036  "
"Hotel Azure","$209 - $360*"," 120 Lafayette Street, New York City, NY 10013  "
"Hotel Deauville","$105 - $259*"," 103 East 29th Street, New York City, NY 10016  "
"The Grant Hotel","0"," 306 W 94th St, New York City, NY 10025  "
"Comfort Inn Central Park West","$153 - $310*"," 31 West 71st Street, New York City, NY 10023-4103  "
"Doubletree Metropolitan Hotel","$226 - $461*"," 569 Lexington Avenue at East 51st Street, New York City, NY 10022  "
"Da Vinci Hotel","$160 - $253*"," 244 West 56th Street, New York City, NY 10019  "
"Lafayette House","$325 - $495*"," 38 East 4th Street, New York City, NY 10003  "
"Flatotel","$214 - $599*"," 135 West 52nd Street, New York City, NY 10019  "
"Americana Inn","$141 - $248*"," 69 West 38th Street, New York City, NY 10018  "
"Holiday Inn NYC - Manhattan 6th Avenue","$234 - $407*"," 125 West 26th Street, New York City, NY 10001  "
"Buckingham Hotel","$250 - $350*"," 101 W 57th St at 6th Ave, New York City, NY 10019  "
"Empire Hotel","$279 - $591*"," 44 West 63rd Street, New York City, NY 10023  "
"BEST WESTERN Convention Center Hotel","$154 - $316*"," 522 West 38th Street, New York City, NY 10018  "
"Astor on the Park","$143 - $224*"," 465 Central Park West, New York City, NY 10025  "
"Holiday Inn Express New York City-Wall Street","$190 - $334*"," 126 Water Street, New York City, NY 10005  "
"La Quinta Inn Manhattan","$183 - $341*"," 17 West 32nd Street, New York City, NY 10001  "
"Chelsea Savoy Hotel","$195 - $302*"," 204 West 23rd Street, New York City, NY 10011  "
"Holiday Inn SoHo New York","$212 - $388*"," 138 Lafayette Street, New York City, NY 10013  "
"The Roosevelt Hotel","$249 - $458*"," 45 East 45th Street at Madison Avenue, New York City, NY 10017  "
"Wolcott Hotel","$180 - $280*"," 4 West 31st Street, Between 5th Avenue & Broadway, New York City, NY 10001  "
"The Time","$203 - $447*"," 224 West 49th Street, New York City, NY 10019  "
"Larchmont Hotel","$90 - $249*"," 27 West 11th Street, New York City, NY 10011  "
"Wellington Hotel","$183 - $497*"," 871 7th Ave at W 55th St, New York City, NY 10019-3830  "
"The GEM Hotel-SoHo, an Ascend Collection hotel","$218 - $461*"," 135 East Houston Street, New York City, NY 10002  "
"Seafarers & International House","$100 - $222*"," 123 E. 15th St., New York City, NY 10003  "
"Hotel LOLA","$232 - $427*"," 29 East 29 Street, New York City, NY 10016 (Formerly Hotel Thirty Thirty) "
"60 Thompson - A Thompson Hotel","$337 - $1,19"," 60 Thompson Street, New York City, NY 10012  "
"The Bentley Hotel","$219 - $438*"," 500 East 62nd Street, New York City, NY 10065  "
"Comfort Inn Times Square South","$229 - $419*"," 305 W 39th St, (39th St and 8th Ave), New York City, NY 10018  "
"Park 79 Hotel","$140 - $966*"," 117 West 79th Street, New York City, NY 10024  "
"Hotel Verite","$205 - $343*"," 13 E. 19th Street, & 893 Broadway, New York City, NY 10003  "
"Club Quarters Midtown","$240 - $379*"," 40 West 45th Street, New York City, NY 10036  "
"Murray Hill East Suites","$209 - $438*"," 149 East 39th Street, New York City, NY 10016-0913  "
"Edison Hotel Times Square","$232 - $355*"," 228 West 47th Street, Between 8th Avenue and Broadway, New York City, NY 10036  "
"Sheraton New York Hotel","$285 - $573*"," 811 7th Avenue on 53rd Street, New York City, NY 10019  "
"Hilton Manhattan East","$255 - $576*"," 304 E. 42nd Street, New York City, NY 10017 (Formerly Tudor Hotel New York) "
"Windsor Hotel","$173 - $1,13"," 108 Forsyth Street, New York City, NY 10002  "
"Hotel Grand Union","$185 - $319*"," 34 East 32nd Street, New York City, NY 10016  "
"Dylan Hotel","$235 - $466*"," 52 East 41st Street, New York City, NY 10017  "
"Hotel Gansevoort","$344 - $589*"," 18 9th Avenue, at 13th Street, New York City, NY 10014  "
"Four Points by Sheraton Manhattan Chelsea","$223 - $405*"," 160 West 25th St., New York City, NY 10011  "
"Dream New York","$247 - $1,13"," 210 West 55th Street, New York City, NY 10019  "
"Stay.","$204 - $438*"," 157 West 47 Street, (between 6th & 7th Avenues), New York City, NY 10036  "
"Club Quarters Downtown","$187 - $320*"," 52 William Street, New York City, NY 10005  "
"Sohotel","$199 - $319*"," 341 Broome Street, New York City, NY 10013  "
"Bedford Hotel","$172 - $363*"," 118 East 40th Street, New York City, NY 10016  "
"The Manhattan at Times Square Hotel","$266 - $459*"," 790 7th Avenue at 51st Street, New York City, NY 10019  "
"The Jane","$99 - $325*"," 113 Jane Street, New York City, NY  "
"The Franklin","$243 - $461*"," 164 E 87th St, Off Lexington Avenue, New York City, NY 10128  "
"Soho Grand Hotel","$308 - $539*"," 310 West Broadway, New York City, NY 10013  "
"Courtyard New York Manhattan/Fifth Avenue","$293 - $530*"," 3 East 40th Street, New York City, NY 10016  "
"The Lombardy","$263 - $585*"," 111 East 56th Street, New York City, NY 10022  "
"The Mansfield","$233 - $567*"," 12 West 44th Street, New York City, NY 10036  "
"Hotel Stanford","$189 - $408*"," 43 West 32nd Street, New York City, NY 10001  "
"The Shoreham","$321 - $727*"," 33 West 55th Street, New York City, NY 10019  "
"Montagu Place Hotel","$247 - $418*"," 2 - 3 Montagu Place | Marylebone, London W1H 2ER, England  "
"Park Central","$229 - $448*"," 870 Seventh Avenue at 56th Street, New York City, NY 10019  "
"Algonquin Hotel Times Square, Autograph Collection","$550 - $788*"," 59 W 44th St, Between Fifth & Sixth Ave, New York City, NY 10036  "
"Radisson Edwardian Bloomsbury Street","$264 - $522*"," 9-13 Bloomsbury St, London WC1B 3QD, England  "
"Premier Inn London Stratford","$122 - $290*"," 9 International Square, Westfield Stratford City, Montfichet Road, Olympic Park, London E20 1EE, England  "
"The Pelham Hotel","$301 - $498*"," 15 Cromwell Place, London SW7 2LA, England  "
"Ramada Eastside","$175 - $316*"," 161 Lexington Avenue, New York City, NY 10016  "
"myhotel Chelsea","$217 - $524*"," 35 Ixworth Place | Chelsea, London SW3 3QX, England  "
"Holiday Inn New York City - Wall Street","$180 - $337*"," 51 Nassau Street, New York City, NY 10038  "
"Washington Jefferson Hotel","$199 - $401*"," 318 West 51st Street, New York City, NY 10019  "
"Paramount Hotel Times Square New York","$209 - $458*"," 235 W 46th Street, Between Broadway & 8th Avenue, New York City, NY 10036  "
"New York Marriott East Side","$321 - $576*"," 525 Lexington Avenue, New York City, NY 10017  "
"AKA United Nations","$316 - $365*"," 234 E 46th St, btwn 2nd & 3rd Aves, New York City, NY 10017  "
"Holiday Inn Express New York City Fifth Ave","$242 - $417*"," 15 West 45th Street, New York City, NY 10036  "
"Hotel St. James","$177 - $295*"," 109 West 45th Street, New York City, NY 10036  "
"The Helmsley Park Lane","$269 - $607*"," 36 Central Park South, New York City, NY 10019-1600  "
"The Manhattan Club","$344 - $599*"," 200 West 56th Street, New York City, NY 10019  "
"Hilton London Canary Wharf","$141 - $606*"," South Quay, Marsh Wall, London E14 9SH, England  "
"Radisson Edwardian Bloomsbury Street","$264 - $522*"," 9-13 Bloomsbury St, London WC1B 3QD, England  "
"Premier Inn London Stratford","$122 - $290*"," 9 International Square, Westfield Stratford City, Montfichet Road, Olympic Park, London E20 1EE, England  "
"The Pelham Hotel","$301 - $498*"," 15 Cromwell Place, London SW7 2LA, England  "
"myhotel Chelsea","$217 - $524*"," 35 Ixworth Place | Chelsea, London SW3 3QX, England  "
"Premier Inn London Hammersmith","$119 - $198*"," 255 King Street | Hammersmith, London W6 9LU, England  "
"Chiswick Moran Hotel","$194 - $329*"," 626 Chiswick High Road, London W4 5RY, England  "
"San Domenico House","$313 - $770*"," 29-31 Draycott Place, London SW3 2SH, England  "
"Eventi - a Kimpton Hotel","$283 - $576*"," 851 Avenue of the Americas (Sixth Avenue), New York City, NY 10001  "
"The St. Regis New York","$744 - $1,43"," 2 East 55th Street, at Fifth Avenue, New York City, NY 10022  "
"Broadway at Times Square Hotel","$119 - $353*"," 129 West 46th Street, New York City, NY 10036 (Formerly Comfort Inn Times Square) "
"Eventi - a Kimpton Hotel","$283 - $576*"," 851 Avenue of the Americas (Sixth Avenue), New York City, NY 10001  "
"The St. Regis New York","$744 - $1,43"," 2 East 55th Street, at Fifth Avenue, New York City, NY 10022  "
"Broadway at Times Square Hotel","$119 - $353*"," 129 West 46th Street, New York City, NY 10036 (Formerly Comfort Inn Times Square) "
"W New York - Times Square","$384 - $664*"," 1567 Broadway at 47th St, New York City, NY 10036  "
"Hilton London Canary Wharf","$141 - $606*"," South Quay, Marsh Wall, London E14 9SH, England  "
"Fairfield Inn & Suites by Marriott New York Manhattan / Times Square","$279 - $488*"," 330 W. 40th Street, Between 8th Ave. & 9th Ave., New York City, NY 10018  "
"Radisson Edwardian Bloomsbury Street","$264 - $522*"," 9-13 Bloomsbury St, London WC1B 3QD, England  "
"Premier Inn London Stratford","$122 - $290*"," 9 International Square, Westfield Stratford City, Montfichet Road, Olympic Park, London E20 1EE, England  "
"Hotel 17","$124 - $189*"," 225 East 17th Street, New York City, NY 10003  "
"The Pelham Hotel","$301 - $498*"," 15 Cromwell Place, London SW7 2LA, England  "
"myhotel Chelsea","$217 - $524*"," 35 Ixworth Place | Chelsea, London SW3 3QX, England  "
"Premier Inn London Hammersmith","$119 - $198*"," 255 King Street | Hammersmith, London W6 9LU, England  "
"Holiday Inn Express NYC - Madison Square Garden","$220 - $364*"," 232 West 29th Street, New York City, NY 10001-5201  "
"Chiswick Moran Hotel","$194 - $329*"," 626 Chiswick High Road, London W4 5RY, England  "
"6 Columbus - A Thompson Hotel","$264 - $580*"," 6 Columbus Circle, New York City, NY 10019  "
"San Domenico House","$313 - $770*"," 29-31 Draycott Place, London SW3 2SH, England  "
"Holiday Inn London Bloomsbury","$226 - $470*"," Coram Street | Russell Square, London WC1N 1HT, England  "
"Belnord Hotel","$176 - $312*"," 209 West 87th Street, New York City, NY 10024  "
"54 Boutique Hotel","$176 - $329*"," 54 Queens Gate | South Kensington, London SW7 5JW, England  "
"Comfort Inn Chelsea","$229 - $358*"," 18 West 25th Street, at 5th Avenue, New York City, NY 10010  "
"Oxbridge Midtown East Apartments","0"," 210 E 47th St, New York City, NY 10017  "
"Central Park Suite","$245 - $341*"," 59 East 73rd Street, New York City, NY  "
"Hotel Riverview","$75 - $100*"," 113 Jane Street, New York City, NY 10014  "
"Central Park House","0"," 25 W. 83rd Street, New York City, NY 10024  "
"West Side Inn","$59 - $79*"," 237 West 107th Street, New York City, NY 10025  "
"Sun Bright Hotel","$45 - $1,136"," 140 Hester Street, New York City, NY 10013  "
"The Aladdin","$70 - $90*"," 317 West 45th Street, New York City, NY 10036  "
"La Semana Hotel","$129 - $129*"," 25 W. 24th St, New York City, NY 10010  "
"Washington Hotel","0"," 2289 3rd Avenue, New York City, NY 10028  "
"BEST WESTERN Phoenix Hotel","$138 - $254*"," 1 - 8 Kensington Garden Square, London W2 4BH, England  "
"Hotel Riverside Studios","$70 - $120*"," 342 West 71st Street, New York City, NY 10023  "
"World Hotel","$69 - $817*"," 101 Bowery, New York City, NY 10002  "
"Holiday Inn Express London Stratford","$138 - $400*"," 196 High Street, London E15 2NE, England  "
"Chocolat Hostel","$110 - $150*"," 850 West End Avenue, New York City, NY 10025  "
"Mount Royal Hotel & Hostel","0"," 315 West 94th Street, New York City, NY 10025  "
"America's Best Value Inn Mayor Hotel","$165 - $197*"," 79 Division Street, New York City, NY 10002  "
"The Soho Loft","0"," 199 Lafayette Street, New York City, NY 10013  "
"The St. Regis Club at the Essex House, New York","$319 - $649*"," 170 Central Park South, New York City, NY 10019  "
"Allerton","$87 - $129*"," 302 West 22nd Street, New York City, NY 10011  "
"Hotel Ibis London Excel-Docklands","$87 - $214*"," 9 Western Gateway | Royal Victoria Dock, London E16 1AB, England  "
"Royal Park Hotel","$114 - $205*"," 258 West 97th Street, New York City, NY 10025  "
"The Portland Hotel","$180 - $411*"," 31 - 32 Bedford Place, London WC1B 5JH, England  "
"Leigham Court Hotel","$95 - $188*"," 18 Leigham Court Road | Streatham, London SW16 8PJ, England  "
"New York Inn","$125 - $413*"," 765 8th Avenue, Between 46th & 47th St, New York City, NY 10036  "
"YourStay MidTown Apartments","$100 - $330*"," 50 West 34th Street, New York City, NY 10001  "
"Apollo","0"," 2027 7th Ave, at 121st St, New York City, NY 10027  "
"Travelodge London Tower Bridge","$136 - $158*"," 1 Goodmans Yard | Lloyds Court Business Centre, London E1 8AT, England  "
"Belgrave Hotel","$142 - $253*"," 9-13 Clapham Road | Oval, London SW9 0JD, England  "
"Boston Manor Hotel","$71 - $119*"," 146-152 Boston Road | Hanwell, Ealing, London W7 2HJ, England  "
"Manhattan Broadway Hotel","$195 - $386*"," 273 West 38th Street, New York City, NY 10018  "
"The Amsterdam Inn","$69 - $109*"," 340 Amsterdam Avenue, at 76th Street, New York City, NY 10024  "
"Central Park Hotel","$110 - $475*"," 49-67 Queensborough Terrace, London W2 3SS, England  "
"Orchard Hotel","$146 - $367*"," 86-90 Sussex Gardens, London W2 1UH, England  "
"Sanctum Apartment London Hotel","$226 - $949*"," 1 Greville Rd, London NW6 5HA, England  "
"The Park Lane Sheraton Hotel","$283 - $791*"," Piccadilly, London W1J 7BX, England  "
"Stanley House","$95 - $222*"," 19-21 Belgrave Road, London SW1V 1RB, England  "
"Durley House","$476 - $848*"," 115 Sloane Street, London SW1X 9PJ, England  "
"Hyde Park Premier London Paddington","$168 - $298*"," 14-16 Craven Hill, Lancaster Gate, London W2 3DU, England  "
"Saint Simeon","$127 - $633*"," 38 Harrington Gardens | South Kensington, London SW7 4LT, England  "
"BEST WESTERN Shaftesbury Paddington Court London","$183 - $362*"," 27 Devonshire Terrace | Paddington, London W2 3DP, England  "
"Henry VIII Hotel","$167 - $479*"," 19 Leinster Gardens, London W2 3AN, England  "
"Hotel Pennsylvania New York","$144 - $305*"," 401 Seventh Avenue at 33rd Street, New York City, NY 10001  "
"The Hyde Park Hotel","$102 - $430*"," 23-25 Leinster Square - Bayswater, London W2 4NE, England  "
"Berjaya Eden Park London Hotel - United Kingdom","$132 - $430*"," 35 - 39 Inverness Terrace | Bayswater, London W2 3JS, England  "
"Blue Star Hotel","$87 - $435*"," 51 - 53 Steyne Road | Acton, London W3 9NU, England  "
"Viking Hotel","$81 - $1,585"," 162 Romford Road, London E15 4LD, England  "
"Chrysos Hotel","$138 - $554*"," 25 - 27 Norfolk Square, London W2 1RX, England  "
"St George's Inn Victoria","$125 - $356*"," 25 Belgrave Road | Victoria, London SW1V 1RB, England  "
"Travelodge London Central Moorgate","$110 - $206*"," 1-23 City Road, London EC1Y 1AE, England  "
"The Clarendon Hotel - Blackheath Village","$125 - $356*"," 8 - 16 Montpelier Row | Blackheath Village, London SE3 0RW, England  "
"Premier by Eurotraveller","$109 - $459*"," 194-202 Old Kent Road, London SE1 5TY, England  "
"Americana Hotel","$178 - $252*"," 172 Gloucester Place | Regents Park, London NW2 6DS, England  "
"Hotel Carter","$117 - $159*"," 250 West 43rd Street, New York City, NY 10036  "
"Morningside Inn","$85 - $1,136"," 235 West 107th Street, New York City, NY 10025  "
"St. Marks Hotel","$120 - $170*"," 2 St. Marks Place, New York City, NY 10003  "
"St Giles Hotel London","$137 - $214*"," Bedford Avenue, London WC1B 3GH, England  "
"Milford Plaza Hotel","$186 - $333*"," 700 8th Avenue, New York City, NY 10036  "
"easyHotel London South Kensington","$32*"," 14 Lexham Gardens | Kensington, London W8 5JE, England  "
"Woogo - Central Park","$189 - $474*"," 240 West 73rd Street, New York City, NY 10023 (Formerly YourStay Central Park) "
"East 73rd and York Ave Apartment","$56*"," 1374 York Avenue, New York City, NY 10021  "
"Sidney Hotel","$113 - $276*"," 68-76 Belgrave Road | Victoria, Westminster, London SW1V 2BP, England  "
"The York & Albany","$246 - $873*"," 127-129 Parkway, London, England  "
"BEST WESTERN Corona","$128 - $237*"," 85 - 89 Belgrave Road | Victoria, London SW1V 2BQ, England  "
"Eden Plaza Kensington","$125 - $315*"," 68 - 69 Queens Gate | South Kensington, London SW7 5JT, England  "
"Mentone Hotel","$127 - $237*"," 54 - 55 Cartwright Gardens, London WC1 H9EL, England  "
"Latham Hotel","$99 - $189*"," 4 East 28th Street, New York City, NY 10016  "
"BEST WESTERN City View Inn Hotel","0"," 3317 Greenpoint Avenue, New York City, NY 11101   "
"Gresham Hotel London","$109 - $555*"," 116 Sussex Gardens | Hyde Park, London W2 1UA, England  "
"White Lodge Hotel","$85 - $120*"," 1 Church Lane | Hornsey, London N8 7BU, England  "
"Marrakech Hotel on Broadway","$156 - $308*"," 2688 Broadway, New York City, NY 10025  "
"Abbey Court Hyde Park","$109 - $228*"," 174 Sussex Gardens | Hyde Park, London W2 1TP, England  "
"Regency House","$141 - $237*"," 71 Gower Street, London WC1E 6HJ, England  "
"The GEM Hotel-Midtown West","$197 - $450*"," 449 W. 36th Street, New York City, NY 10018  "
"Chelsea Hotel","$175 - $500*"," 222 W 23rd St, New York City, NY 10011  "
"Wardonia Hotel","$79 - $164*"," 46-54 Argyle Street | Kings Cross, London WC1H 8ER, England  "
"Envoy Club Suites","$199 - $299*"," 377 East 33rd Street, New York City, NY 10016  "
"The Premier Hotel","$389 - $659*"," 133 W 44th St, New York City, NY 10036  "
"Clarion Hotel Park Avenue","$171 - $332*"," 429 Park Avenue South, New York City, NY 10016  "
"Best Western Burns Hotel","$111 - $278*"," 18-26 Barkston Gardens | Kensington, London SW5 0EN, England  "
"Castleton Hotel","$134 - $275*"," 164-166 Sussex Gardens, London W2 1UD , England  "
"Jolly Hotel Madison Towers","$175 - $355*"," 22 East 38th street (corner of Madison Avenue), New York City, NY 10016  "
"Montana Hotel","$103 - $435*"," 67-69 Gloucester Road, London SW7 4PG, England  "
"BEST WESTERN PLUS Queens Court Hotel","$157 - $172*"," 13351 39th Avenue, New York City, NY 11354-4432  "
"254 East Vacation","$200 - $342*"," 254 East 74th Street, New York City, NY 10021  "
"Murray Hill Inn","$69 - $139*"," 143 East 30th Street, New York City, NY 10016  "
"Custom House Hotel","$93 - $310*"," 272-283 Victoria Dock Road, London E16 3BY, England  "
"Park Savoy","$98 - $176*"," 158 W 58th St, New York City, NY 10019  "
"Enterprise Hotel","$128 - $475*"," 15-25 Hogarth Road, London SW5 0QJ, England  "
"The Omega Hotel","$103 - $204*"," 136 Sussex Gardens, London W2 1UB, England  "
"Days Hotel Broadway","$154 - $911*"," 215 W 94th St & Broadway, New York City, NY 10025  "
"Edward Lear Hotel","$0 - $0*"," 28-30 Seymour Street, London W1H 5WD, England  "
"Holiday Inn Oxford Circus","$228 - $452*"," 57-59 Welbeck Street, London W1M 8HS, England  "
"The Lancaster","$131 - $264*"," 4-6 Bedford Place, London WC1B 5JD, England  "
"Heatherbank Guest House","$119 - $237*"," 25 - 27 Woodside Park Road | North Finchley, London N12 8RT, England  "
"Queens Hotel","$127 - $253*"," 324 Seven Sisters Road, London N4 2AP, England  "
"Westbury Kensington","$127 - $221*"," 22-24 Collingham Place | Kensington, London SW5 0PZ, England  "
"The Quality Maitrise Hotel","$155 - $1,26"," 53 - 59 Kilburn High Road | Maida Vale, London NW6 5SB, England  "
"Rosebery Hall Residence","0"," 90 Rosebery Avenue, London EC1R 4TY, England  "
"27 Paddington","$141 - $1,58"," 25-27 Craven Road, London W2 3BU, England  "
"Ruskin","$93 - $134*"," 23-24 Montague Street, London WC1B 5BN, England  "
"37 Collingham Place London","$95 - $635*"," 37 Collingham Place | Earls Court, London SW5 0QF, England  "
"Home House","0"," 20 Portman Square, London W1H 6LN, England  "
"The Paddington Hotel","$115 - $188*"," 28 Gloucester Terrace, London W2 3DH, England  "
"Comfort Hotel Finchley","$92 - $229*"," 3 Leisure Way, High Road | Finchley, London N12 0Q2, England  "
"Regency Hotel - Nottingham Place","$146 - $475*"," 19 Nottingham Place, London W1M 3FF, England  "
"Elysee Hotel","$115 - $551*"," 25-26 Craven Terrace | Hyde Park, London W2 3EL , England  "
"CityStay Hotel","$85 - $396*"," 94 Bow Road, London E3 3AA, England  "
"Abbey Court Hotel","$179 - $622*"," 20 Pembridge Gardens | Kensington, Notting Hill Gate, London W2 4DU, England  "
"Avonmore","$125 - $267*"," 57 Cartwright Gardens, London WC1H 9EL, England  "
"Hudson New York","$209 - $557*"," 356 West 58th Street, New York City, NY 10019  "
"Amsterdam Court Hotel","$192 - $407*"," 226 West 50th Street, New York City, NY 10019  "
"Hotel Alexander","0"," 306 W 94th St, New York City, NY 10025   "
"Eurostars Wall Street","$210 - $447*"," 129 Front St, New York City, NY 10005  "
"Chelsea Inn - 17th Street","$122 - $194*"," 46 West 17th Street, New York City, NY 10011  "
"Off Soho Suites","$259 - $367*"," 11 Rivington Street, New York City, NY 10002  "
"Chelsea Star Hotel","$53 - $431*"," 300 W 30th St at 8th Ave, New York City, NY 10001  "
"Mayfair Hotel","$190 - $274*"," 242 West 49th Street, New York City, NY 10019  "
"The Hotel 91","$164 - $546*"," 91 E Broadway, New York City, NY 10002  "
"The Sylvan Guest House","$228 - $459*"," 12 Sylvan Terrace, New York City, NY 10032  "
"Helmsley Middletowne Hotel","$145 - $265*"," 148 E. 48th St., New York City, NY 10017  "
"Ameritania Hotel","$199 - $394*"," 230 West 54th Street, New York City, NY 10019  "
"The Inn at Irving Place","$353 - $448*"," 56 Irving Place, New York City, NY 10003  "
"Broadway Hotel and Hostel","$54 - $332*"," 230 West 101 Street, (at 101st Street and Broadway), New York City, NY 10025  "
"Holiday Inn Midtown / 57th St","$204 - $332*"," 440 West 57th Street, New York City, NY 10019  "
"Hotel Wales","$264 - $463*"," 1295 Madison Avenue, New York City, NY 10128  "
"Seton Hotel","$194 - $294*"," 144 East 40th Street, New York City, NY 10016  "
"Hotel Americano","$293 - $627*"," 518 W 27th St, New York City, NY 10001  "
"Radisson Lexington Hotel New York","$205 - $433*"," 511 Lexington Avenue, at 48th Street, New York City, NY 10017  "
"Riverside Tower","$124 - $149*"," 80 Riverside Drive, New York City, NY 10024  "
"Comfort Inn Midtown West Convention Center","$189 - $404*"," 442 W 36th St, New York City, NY 10018  "
"Beekman Tower Hotel","$236 - $462*"," 3 Mitchell Place, At 1st Avenue and East 49th Street, New York City, NY 10017  "
"Econo Lodge Times Square","$190 - $380*"," 302 West 47th Street, New York City, NY 10036  "
"Best Western PLUS President Hotel at Times Square","$223 - $830*"," 234 West 48th Street, Times Square, New York City, NY 10036  "
"Hotel Azure","$209 - $360*"," 120 Lafayette Street, New York City, NY 10013  "
"Hotel Deauville","$105 - $259*"," 103 East 29th Street, New York City, NY 10016  "
"The Grant Hotel","0"," 306 W 94th St, New York City, NY 10025  "
"Comfort Inn Central Park West","$153 - $310*"," 31 West 71st Street, New York City, NY 10023-4103  "
"Doubletree Metropolitan Hotel","$220 - $452*"," 569 Lexington Avenue at East 51st Street, New York City, NY 10022  "
"Da Vinci Hotel","$161 - $253*"," 244 West 56th Street, New York City, NY 10019  "
"Lafayette House","$325 - $495*"," 38 East 4th Street, New York City, NY 10003  "
